Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.508,1,1
2,1,0.544,0.933824,0.466912
3,1,0.525,0.967619,0.32254
4,1,0.627,0.810207,0.202552
5,1,0.672,0.755952,0.15119
6,1,0.705,0.720567,0.120095
7,1,0.519,0.978805,0.139829
8,1,0.533,0.953096,0.119137
