Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.754,1,1
2,1,0.636,1.18553,0.592767
3,1,0.603,1.25041,0.416805
4,1,0.558,1.35125,0.337814
5,1,0.562,1.34164,0.268327
6,1,0.621,1.21417,0.202362
7,1,0.567,1.32981,0.189972
8,1,0.621,1.21417,0.151771
