Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.731,1,1
2,1,0.648,1.12809,0.564043
3,1,0.523,1.39771,0.465902
4,1,0.531,1.37665,0.344162
5,1,0.559,1.30769,0.261538
6,1,0.521,1.40307,0.233845
7,1,0.625,1.1696,0.167086
8,1,0.601,1.21631,0.152038
