Threads,Match,Time (ms),Speedup,Efficiency
1,0,0.57,1,1
2,0,0.524,1.08779,0.543893
3,0,0.521,1.09405,0.364683
4,0,0.525,1.08571,0.271429
5,0,0.525,1.08571,0.217143
6,0,0.705,0.808511,0.134752
7,0,0.677,0.84195,0.120279
8,0,0.555,1.02703,0.128378
