Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.122,1,1
2,1,0.172,0.709302,0.354651
3,1,0.144,0.847222,0.282407
4,1,0.135,0.903704,0.225926
5,1,0.113,1.07965,0.215929
6,1,0.102,1.19608,0.199346
7,1,0.102,1.19608,0.170868
8,1,0.101,1.20792,0.15099
