Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.618,1,1
2,1,0.524,1.17939,0.589695
3,1,0.64,0.965625,0.321875
4,1,0.575,1.07478,0.268696
5,1,0.697,0.886657,0.177331
6,1,0.547,1.1298,0.1883
7,1,0.539,1.14657,0.163795
8,1,0.551,1.1216,0.1402
