Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.644,1,1
2,1,0.743,0.866756,0.433378
3,1,0.574,1.12195,0.373984
4,1,0.611,1.05401,0.263502
5,1,0.559,1.15206,0.230411
6,1,0.544,1.18382,0.197304
7,1,0.537,1.19926,0.171322
8,1,0.568,1.1338,0.141725
