Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.102,1,1
2,1,0.095,1.07368,0.536842
3,1,0.097,1.05155,0.350515
4,1,0.095,1.07368,0.268421
5,1,0.126,0.809524,0.161905
6,1,0.147,0.693878,0.115646
7,1,0.088,1.15909,0.165584
8,1,0.09,1.13333,0.141667
